season,team_abbrv,coach_name,games_coached,games_W,games_L,playoff_games,playoff_games_W,playoff_games_L,team_coach_number,seasons_with_team,new_coach
1960,BOS,Red Auerbach,75,59,16,13,8,5,1,10,0
1960,CIN,Tom Marshall,75,19,56,0,0,0,1,2,0
1960,DET,Red Rocha,34,13,21,0,0,0,1,3,0
1960,DET,Dick McGuire,41,17,24,2,0,2,2,1,1
1960,MNL,John Castellani,36,11,25,0,0,0,1,1,1
1960,MNL,Jim Pollard,39,14,25,9,5,4,2,1,1
1960,NYK,Andrew Levane,27,8,19,0,0,0,1,2,0
1960,NYK,Carl Braun,48,19,29,0,0,0,2,1,1
1960,PHW,Neil Johnston,75,49,26,9,4,5,1,1,1
1960,STL,Ed Macauley,75,46,29,14,7,7,1,2,0
1960,SYR,Paul Seymour,75,45,30,3,1,2,1,4,0
1961,BOS,Red Auerbach,79,57,22,10,8,2,1,11,0
1961,CIN,Charles Wolf,79,33,46,0,0,0,1,1,1
1961,DET,Dick McGuire,79,34,45,5,2,3,1,2,0
1961,LAL,Fred Schaus,79,36,43,12,6,6,1,1,1
1961,NYK,Carl Braun,79,21,58,0,0,0,1,2,0
1961,PHW,Neil Johnston,79,46,33,3,0,3,1,2,0
1961,STL,Paul Seymour,79,51,28,12,5,7,1,1,1
1961,SYR,Alex Hannum,79,38,41,8,4,4,1,1,1
1962,BOS,Red Auerbach,80,60,20,14,8,6,1,12,0
1962,CHP,Jim Pollard,80,18,62,0,0,0,1,1,1
1962,CIN,Charles Wolf,80,43,37,4,1,3,1,2,0
1962,DET,Dick McGuire,80,37,43,10,5,5,1,3,0
1962,LAL,Fred Schaus,80,54,26,13,7,6,1,2,0
1962,NYK,Eddie Donovan,80,29,51,0,0,0,1,1,1
1962,PHW,Frank McGuire,80,49,31,12,6,6,1,1,1
1962,STL,Paul Seymour,14,5,9,0,0,0,1,2,0
1962,STL,Andrew Levane,60,20,40,0,0,0,2,3,0
1962,STL,Bob Pettit,6,4,2,0,0,0,3,1,1
1962,SYR,Alex Hannum,80,41,39,5,2,3,1,2,0
1963,BOS,Red Auerbach,80,58,22,13,8,5,1,13,0
1963,CHZ,Jack McMahon,38,12,26,0,0,0,1,1,1
1963,CHZ,Slick Leonard,42,13,29,0,0,0,2,1,1
1963,CIN,Charles Wolf,80,42,38,12,6,6,1,3,0
1963,DET,Dick McGuire,80,34,46,4,1,3,1,4,0
1963,LAL,Fred Schaus,80,53,27,13,6,7,1,3,0
1963,NYK,Eddie Donovan,80,21,59,0,0,0,1,2,0
1963,SFW,Bob Feerick,80,31,49,0,0,0,1,1,1
1963,STL,Harry Gallatin,80,48,32,11,6,5,1,1,1
1963,SYR,Alex Hannum,80,48,32,5,2,3,1,3,0
1964,BAL,Slick Leonard,80,31,49,0,0,0,1,2,0
1964,BOS,Red Auerbach,80,59,21,10,8,2,1,14,0
1964,CIN,Jack McMahon,80,55,25,10,4,6,1,1,1
1964,DET,Charles Wolf,80,23,57,0,0,0,1,1,1
1964,LAL,Fred Schaus,80,42,38,5,2,3,1,4,0
1964,NYK,Eddie Donovan,80,22,58,0,0,0,1,3,0
1964,PHI,Dolph Schayes,80,34,46,5,2,3,1,1,1
1964,SFW,Alex Hannum,80,48,32,12,5,7,1,1,1
1964,STL,Harry Gallatin,80,46,34,12,6,6,1,2,0
1965,BAL,Buddy Jeannette,80,37,43,10,5,5,1,1,1
